,ori,,
1582892724524,251.14578,-18.41765,-7.301268
1582892724539,250.50246,-17.645496,-7.088702
1582892724559,250.02855,-17.109226,-6.905927
1582892724577,249.7106,-16.778439,-6.8401275
1582892724595,249.4365,-16.578644,-6.965777
1582892724616,249.28514,-16.363264,-6.7685795
1582892724635,249.00136,-16.0919,-6.756182
1582892724654,248.59418,-15.72539,-6.797629
1582892724671,248.45953,-15.598906,-6.6833076
1582892724697,248.73596,-15.839383,-6.3484683
1582892724752,248.77556,-15.828294,-6.2288904
1582892724752,248.51477,-15.389321,-6.025118
1582892724752,248.62445,-15.479811,-5.8984585
1582892724776,248.70538,-15.549355,-5.835643
1582892724785,248.47086,-15.230938,-5.8575745
1582892724806,248.3508,-15.10856,-5.9561343
1582892724826,248.28116,-15.038698,-5.957259
1582892724845,248.21576,-14.989037,-5.980463
1582892724865,248.14026,-14.92194,-5.9804225
1582892724884,248.03726,-14.8335285,-5.9945917
1582892724919,248.04211,-14.877766,-5.9767733
1582892724922,248.09409,-14.934907,-5.88948
1582892724939,247.92453,-14.786233,-5.9019017
1582892724959,247.87363,-14.781115,-5.853061
1582892724979,247.75052,-14.746153,-5.8397145
1582892724997,247.74033,-14.752741,-5.732932
1582892725017,247.7438,-14.829241,-5.756688
1582892725036,247.71902,-14.799222,-5.739242
1582892725056,247.75334,-14.788217,-5.666631
1582892725078,247.84259,-14.841566,-5.557817
1582892725096,247.75409,-14.714464,-5.625165
1582892725125,247.75266,-14.672588,-5.619541
1582892725148,247.86426,-14.809481,-5.6158266
1582892725150,247.88431,-14.78433,-5.5894985
1582892725171,247.8576,-14.701523,-5.6064167
1582892725190,247.86795,-14.696016,-5.627908
1582892725209,247.85974,-14.677751,-5.663808
1582892725229,247.83585,-14.623724,-5.6585617
1582892725248,247.79327,-14.587124,-5.6836734
1582892725270,247.9049,-14.588683,-5.350617
1582892725298,247.92635,-14.622757,-5.309701
1582892725304,247.91919,-14.61179,-5.280248
1582892725325,247.92857,-14.65321,-5.301965
1582892725341,247.82118,-14.550966,-5.408577
1582892725362,247.73634,-14.431399,-5.4148235
1582892725383,247.71252,-14.489472,-5.4840727
1582892725400,247.65659,-14.488805,-5.4744916
1582892725421,247.58566,-14.428898,-5.424224
1582892725439,247.53668,-14.431197,-5.4300942
1582892725459,247.5257,-14.47952,-5.4201813
1582892725484,247.52441,-14.485972,-5.3536754
1582892725496,247.60074,-14.503597,-5.206479
1582892725515,247.63455,-14.526484,-5.211111
1582892725539,247.70648,-14.531177,-5.198308
1582892725555,247.71323,-14.507042,-5.2586937
1582892725574,247.73154,-14.486389,-5.238082
1582892725591,247.70187,-14.432396,-5.2694435
1582892725611,247.65955,-14.406256,-5.375963
1582892725632,247.65039,-14.413341,-5.371742
1582892725650,247.64734,-14.4073515,-5.339102
1582892725689,247.62276,-14.367484,-5.2803
1582892725690,247.60376,-14.390479,-5.2830997
1582892725714,247.58696,-14.433824,-5.305153
1582892725729,247.56989,-14.3936825,-5.253952
1582892725744,247.54152,-14.329848,-5.2207603
1582892725765,247.58432,-14.39587,-5.2405434
1582892725784,247.59918,-14.421777,-5.2724767
1582892725803,247.58134,-14.336074,-5.2284937
