,ori,,
1582892829491,133.45349,-14.456577,-3.6829498
1582892829508,133.38824,-14.710066,-3.524069
1582892829528,133.40167,-14.732933,-3.4899306
1582892829547,133.3837,-14.829997,-3.480357
1582892829566,133.3883,-14.854026,-3.4502175
1582892829585,133.41907,-14.79158,-3.4094918
1582892829604,133.42883,-14.806378,-3.3676705
1582892829624,133.42834,-14.856056,-3.335555
1582892829643,133.42688,-14.87357,-3.3336127
1582892829663,133.43582,-14.871713,-3.3064435
1582892829682,133.44122,-14.879943,-3.2932968
1582892829700,133.43146,-14.893794,-3.280063
1582892829720,133.4292,-14.888668,-3.2692325
1582892829738,133.42932,-14.896215,-3.27622
1582892829758,133.43689,-14.908078,-3.265747
1582892829777,133.45245,-14.897669,-3.2503884
1582892829796,133.4722,-14.879269,-3.2283835
1582892829816,133.48444,-14.901318,-3.1807022
1582892829834,133.49435,-14.914181,-3.1635551
1582892829854,133.50659,-14.897654,-3.1769528
1582892829873,133.52322,-14.907802,-3.1206555
1582892829892,133.52393,-14.929474,-3.0847301
1582892829911,133.53485,-14.922689,-3.0433493
1582892829930,133.54901,-14.923454,-2.9976869
1582892829950,133.55698,-14.941629,-2.970787
1582892829968,133.57007,-14.937229,-2.9569564
1582892829990,133.59076,-14.918056,-2.9280705
1582892830010,133.60239,-14.908614,-2.9103184
1582892830029,133.61731,-14.90532,-2.890537
1582892830051,133.6322,-14.907992,-2.865476
1582892830084,133.64478,-14.911939,-2.8500454
1582892830090,133.6611,-14.908599,-2.8158813
1582892830112,133.67523,-14.901699,-2.7705092
1582892830124,133.68732,-14.889729,-2.7404351
1582892830143,133.70544,-14.883784,-2.7098918
1582892830163,133.72607,-14.880964,-2.6663911
1582892830181,133.73993,-14.896422,-2.6222558
1582892830201,133.74826,-14.922009,-2.5919094
1582892830221,133.77347,-14.900102,-2.5520828
1582892830242,133.79578,-14.887827,-2.5173352
1582892830274,133.8122,-14.893573,-2.4748032
1582892830278,133.82382,-14.898398,-2.4377224
1582892830297,133.83914,-14.886704,-2.4040222
