,ori,,
1582892974707,170.98193,-64.09545,-16.193867
1582892974728,180.70708,-54.27409,-13.379408
1582892974745,180.6694,-50.45767,-13.9895315
1582892974764,181.64351,-50.313168,-13.349589
1582892974783,183.3656,-46.538605,-12.549367
1582892974804,185.20596,-41.340267,-11.436739
1582892974824,185.60934,-39.365803,-11.287557
1582892974841,185.40062,-40.7202,-11.356298
1582892974860,186.93362,-37.276928,-10.048303
1582892974880,187.70601,-33.930008,-9.342142
1582892974899,188.26488,-32.44305,-8.757085
1582892974930,187.94159,-34.268875,-9.057596
1582892974937,189.15169,-31.604244,-7.558071
1582892974954,189.23239,-29.84962,-7.472373
1582892974975,189.95412,-28.840748,-6.421874
1582892974994,189.67107,-30.933601,-6.850921
1582892975016,190.5731,-28.723528,-5.4597406
1582892975034,190.52245,-27.835413,-5.5692163
1582892975054,191.09514,-27.21883,-4.624354
1582892975072,190.8197,-29.406778,-5.2013597
1582892975110,191.25502,-27.6112,-4.392097
1582892975112,191.06097,-27.104828,-4.7332535
1582892975131,191.43097,-27.07473,-4.0728073
1582892975147,191.23323,-28.252705,-4.493089
1582892975167,191.2286,-26.663363,-4.3689957
1582892975185,190.99254,-26.174957,-4.7640605
1582892975206,190.97182,-26.698812,-4.77324
1582892975226,191.03114,-26.385935,-4.668474
1582892975245,191.02635,-25.310385,-4.606335
1582892975262,191.0733,-24.891138,-4.51132
1582892975284,191.03838,-26.034037,-4.5753493
1582892975300,191.44215,-25.13939,-3.7843137
1582892975325,191.58156,-24.775206,-3.5251796
1582892975340,191.85495,-24.446348,-3.0479608
1582892975359,191.80547,-26.020283,-3.2160242
1582892975377,192.04501,-24.797697,-2.6212547
1582892975398,191.93678,-24.762396,-2.858338
1582892975416,192.08339,-24.691004,-2.5447996
1582892975436,191.85399,-25.276852,-3.0093613
1582892975456,191.76253,-24.1631,-2.9645123
1582892975490,191.51517,-23.847366,-3.378796
1582892975497,191.43083,-24.446203,-3.52845
1582892975512,191.5015,-24.168894,-3.3131413
1582892975530,191.54263,-23.609972,-3.1326234
1582892975550,191.7429,-23.301792,-2.714184
1582892975570,191.7932,-24.763815,-2.870559
1582892975588,192.09393,-23.99307,-2.3560064
1582892975608,192.11713,-23.7802,-2.4978342
1582892975628,192.33295,-23.669445,-2.1592207
1582892975646,192.21843,-24.533236,-2.5871782
1582892975673,192.22005,-23.588448,-2.5095196
1582892975685,192.02797,-23.38836,-2.8931918
1582892975704,191.97612,-23.63773,-2.9008532
1582892975722,191.91025,-23.691362,-2.9714055
1582892975742,191.8219,-23.032516,-2.9908288
1582892975761,191.78778,-22.776257,-2.9303052
1582892975780,191.74887,-23.571133,-2.9389617
1582892975799,191.88145,-23.184755,-2.577963
1582892975819,191.89139,-23.020998,-2.5604308
1582892975838,192.05414,-22.844664,-2.195036
1582892975864,192.05823,-23.73785,-2.303974
1582892975875,192.14174,-23.082928,-2.101361
1582892975894,192.04628,-23.050106,-2.3766322
1582892975913,192.06444,-22.979483,-2.3144565
1582892975932,191.99702,-23.249212,-2.4845326
1582892975952,191.94875,-22.65485,-2.520175
1582892975971,191.8839,-22.426088,-2.6343827
1582892975991,191.88031,-23.02185,-2.644485
1582892976010,191.97069,-22.703024,-2.4139729
1582892976033,192.00851,-22.673126,-2.3618016
1582892976062,192.11421,-22.452726,-2.107935
1582892976069,192.11871,-23.180471,-2.1649945
1582892976087,192.11972,-22.54142,-2.1186817
1582892976105,192.00522,-22.385672,-2.360938
1582892976126,191.98239,-22.58322,-2.3855863
1582892976145,191.96822,-22.55293,-2.3935258
1582892976164,192.00354,-22.380415,-2.3173218
1582892976183,192.0623,-22.11262,-2.160519
1582892976203,192.09874,-22.836449,-2.0954592
1582892976225,192.09755,-22.318907,-2.0344768
1582892976241,192.03372,-22.169434,-2.162439
1582892976263,192.03206,-22.392653,-2.1906736
1582892976278,192.02425,-22.324646,-2.1890855
1582892976303,192.09431,-22.26805,-2.076714
1582892976324,192.09897,-22.002659,-2.0814328
1582892976335,192.18597,-22.49899,-1.8909197
1582892976355,192.16876,-22.30678,-2.0049195
1582892976374,192.0845,-21.862738,-2.118121
1582892976394,192.18556,-22.331951,-1.9199604
1582892976416,192.06786,-22.319845,-2.2100914
1582892976450,192.02153,-21.931578,-2.216991
1582892976452,192.09389,-22.157707,-2.087312
1582892976470,191.92874,-22.293558,-2.4231012
1582892976491,191.93402,-22.052927,-2.342016
1582892976510,192.01692,-21.99478,-2.1543255
1582892976530,191.96964,-22.08425,-2.2616618
1582892976547,191.99104,-22.070187,-2.1852484
1582892976567,192.01984,-22.02485,-2.0755398
1582892976585,192.01921,-22.021114,-2.0896077
1582892976610,192.09402,-21.883526,-1.9118162
1582892976625,192.05515,-22.009811,-2.0050664
1582892976649,192.01553,-22.02283,-2.1096206
1582892976662,192.01352,-21.891928,-2.0831017
1582892976682,191.97176,-21.912926,-2.216097
1582892976708,192.07947,-21.986788,-1.9865494
1582892976725,192.14056,-21.851963,-1.8745322
1582892976738,192.15196,-21.817543,-1.8622189
1582892976758,192.11249,-21.90317,-1.9133677
1582892976778,192.0754,-21.80511,-1.9831655
1582892976798,192.00803,-22.015556,-2.0790863
1582892976836,191.98427,-21.772404,-2.1218925
1582892976836,191.95456,-22.041615,-2.0782745
1582892976856,191.98868,-21.72355,-2.002307
1582892976872,191.9893,-22.028568,-1.876053
1582892976898,192.06161,-21.676418,-1.6721516
1582892976913,192.03552,-22.120829,-1.6293604
1582892976932,192.07211,-21.541714,-1.4171783
1582892976950,192.00195,-22.130093,-1.4283761
1582892976969,191.92966,-21.395054,-1.3967342
1582892976991,191.81348,-22.111355,-1.4329387
1582892977019,191.65614,-21.348507,-1.545941
1582892977027,191.50589,-22.075504,-1.5527914
1582892977046,191.28905,-21.504086,-1.698696
1582892977066,191.14528,-22.042828,-1.6587671
1582892977084,190.94429,-21.68296,-1.729965
1582892977108,190.85739,-21.90528,-1.5807458
1582892977129,190.68555,-21.824778,-1.5521238
1582892977142,190.65715,-21.886127,-1.3243221
1582892977161,190.53099,-21.92504,-1.2057868
1582892977181,190.53888,-21.578222,-0.9800987
1582892977199,190.44302,-22.068922,-0.8425872
1582892977220,190.44638,-21.415524,-0.694861
1582892977237,190.3844,-22.185118,-0.5254146
1582892977256,190.34415,-21.238111,-0.51482093
1582892977276,190.26599,-22.076767,-0.39184853
1582892977300,190.15225,-21.229412,-0.545383
1582892977315,190.07655,-22.10265,-0.4469256
1582892977333,189.90097,-21.223822,-0.69887954
1582892977355,189.81837,-21.956247,-0.6091224
1582892977375,189.59221,-21.370003,-0.85838807
1582892977406,189.49432,-21.902296,-0.7721043
1582892977409,189.24931,-21.60316,-0.9238165
1582892977428,189.14897,-21.707148,-0.8018701
1582892977448,188.9136,-21.860752,-0.74606806
1582892977467,188.81526,-21.61074,-0.5794173
1582892977497,188.6027,-22.032198,-0.3568207
1582892977519,188.50621,-21.413206,-0.20711601
1582892977525,188.34644,-22.142372,0.14495394
1582892977544,188.22244,-21.293634,0.19391629
1582892977566,188.10666,-22.242792,0.62881887
1582892977582,187.91808,-21.249945,0.5141508
1582892977607,187.78018,-22.162167,0.89773613
1582892977620,187.5241,-21.215603,0.6858146
1582892977640,187.35504,-22.092924,0.9867414
1582892977659,187.0179,-21.329502,0.6997307
1582892977679,186.82423,-21.958532,0.9495324
1582892977702,186.43271,-21.439068,0.6815542
1582892977717,186.26038,-21.74183,0.900327
1582892977738,185.87645,-21.631662,0.74543214
1582892977756,185.72505,-21.849024,0.9070839
1582892977779,185.36603,-21.85623,0.86319697
1582892977792,185.24763,-21.476204,1.0104223
1582892977812,184.94742,-21.89527,1.041299
1582892977832,184.8764,-21.643152,1.1912696
1582892977851,184.68748,-22.110842,1.3912015
1582892977871,184.64856,-21.397047,1.4296169
1582892977896,184.54997,-22.162014,1.7212865
1582892977923,184.49072,-21.418873,1.5787537
1582892977927,184.47345,-22.307844,1.9836993
1582892977946,184.37917,-21.402164,1.6933131
1582892977965,184.38663,-21.964186,2.0290256
1582892977984,184.2512,-21.321104,1.6670252
1582892978002,184.24025,-22.400942,1.9294715
1582892978023,184.06343,-21.594429,1.4754069
1582892978042,184.06721,-21.850548,1.6333907
1582892978060,183.89037,-21.674696,1.1426814
1582892978081,183.92331,-22.250362,1.2078019
