,ori,,
1582893069342,102.019775,-10.095833,1.972202
1582893069356,101.076355,-11.094382,1.9771323
1582893069378,100.24176,-11.910223,1.3318263
1582893069396,96.87042,-15.42503,0.35775226
1582893069416,97.176544,-15.023204,0.44593096
1582893069435,98.19318,-13.582174,-0.028999278
1582893069452,97.57745,-14.315381,-0.06931534
1582893069471,95.18848,-16.919708,-0.88874054
1582893069491,95.62097,-16.395058,-0.5573428
1582893069515,96.51608,-15.110738,-0.9536717
1582893069543,96.22418,-15.510767,-0.91700745
1582893069570,94.3876,-17.642088,-1.3425027
1582893069571,94.717834,-17.189455,-1.4360158
1582893069585,95.57324,-15.932877,-1.3848028
1582893069606,95.427765,-16.154488,-1.5275676
1582893069625,93.98706,-17.92368,-1.9032382
1582893069644,94.1203,-17.702997,-1.9851699
1582893069663,94.89667,-16.52083,-2.0190258
1582893069682,94.905396,-16.581997,-2.195144
1582893069705,93.68213,-18.147243,-2.5494971
1582893069726,93.675385,-18.100046,-2.6265247
1582893069750,94.32886,-16.989847,-2.7737508
1582893069759,94.374756,-16.979479,-2.8015738
1582893069779,93.29248,-18.426367,-2.9665265
1582893069797,93.31668,-18.35915,-2.8477757
1582893069816,93.86282,-17.349504,-2.8239653
1582893069836,93.89502,-17.36398,-2.882013
1582893069857,93.02368,-18.619349,-3.1637118
1582893069875,93.26965,-18.35929,-3.039191
1582893069894,93.767395,-17.458307,-3.0415037
1582893069926,93.75275,-17.53461,-3.1347814
1582893069938,92.956604,-18.691484,-3.3163774
1582893069952,93.18469,-18.426952,-3.0709932
1582893069968,93.60715,-17.639704,-3.0654564
1582893069989,93.571625,-17.752151,-3.1042943
1582893070008,92.83792,-18.811352,-3.34842
1582893070028,93.065765,-18.495193,-3.1123066
1582893070049,93.41766,-17.784925,-3.2722454
1582893070066,93.47919,-17.797724,-3.1011283
1582893070088,92.74844,-18.865612,-3.2609234
1582893070105,92.93268,-18.59662,-3.0458925
1582893070132,93.31091,-17.867813,-3.1044712
1582893070154,93.359406,-17.880026,-3.044721
1582893070161,92.61749,-18.93815,-3.1544657
1582893070180,92.81702,-18.614279,-2.88977
1582893070200,93.10812,-18.016542,-2.9058595
1582893070220,93.19739,-18.005833,-2.8514974
1582893070239,92.491,-19.039005,-2.9054997
1582893070259,92.69809,-18.664577,-2.6832805
1582893070278,92.93515,-18.21418,-2.805178
1582893070312,93.00021,-18.23868,-2.6081178
1582893070319,92.36145,-19.079168,-2.6590285
1582893070338,92.43994,-18.880054,-2.4549892
1582893070353,92.60297,-18.62338,-2.5818236
1582893070372,92.816956,-18.498434,-2.4580076
1582893070391,92.30057,-19.366922,-2.6311693
1582893070412,92.53015,-18.95795,-2.6028533
1582893070430,92.68567,-18.715208,-2.798402
1582893070451,92.76129,-18.757715,-2.7422261
1582893070471,92.27771,-19.507593,-2.8813047
1582893070487,92.40408,-19.088356,-2.8790665
