,ori,,,
1582891714346,138.56229,-7.747604,-5.41608,DATA
1582891714365,138.19199,-10.304163,-3.9639845,DATA
1582891714385,138.58804,-7.8100705,-4.2334747,DATA
1582891714403,138.45111,-9.517125,-2.5151937,DATA
1582891714424,138.13861,-11.052141,-2.4933329,DATA
1582891714443,138.08588,-11.742925,-1.7214633,DATA
1582891714463,138.30103,-10.42187,-1.6373698,DATA
1582891714493,138.27045,-11.516879,-0.6870832,DATA
1582891714509,138.15115,-12.510403,-0.64704525,DATA
1582891714517,138.16809,-13.107383,-0.11107559,DATA
1582891714558,138.37744,-11.847499,-0.324615,DATA
1582891714558,138.38956,-12.320295,-0.10683489,DATA
1582891714574,138.30585,-13.042061,-0.25437158,DATA
1582891714593,138.2333,-13.617968,-0.16538474,DATA
1582891714615,138.33792,-12.539326,-0.56261384,DATA
1582891714633,138.30777,-12.845596,-0.53518426,DATA
1582891714654,138.16736,-13.380384,-0.9326079,DATA
1582891714680,138.0762,-13.810776,-0.92355716,DATA
1582891714723,138.12677,-12.951108,-1.2893078,DATA
1582891714723,138.10706,-13.138632,-1.132982,DATA
1582891714728,138.01138,-13.5604925,-1.3191466,DATA
1582891714748,137.90771,-14.046552,-1.1787077,DATA
1582891714766,137.966,-13.2482815,-1.2853317,DATA
1582891714786,137.98373,-13.319474,-1.1308373,DATA
1582891714806,137.93976,-13.747499,-1.2752903,DATA
1582891714826,137.90433,-14.154087,-1.1798683,DATA
1582891714845,137.9961,-13.494416,-1.3580192,DATA
1582891714866,138.05157,-13.624641,-1.2116199,DATA
1582891714896,138.0133,-13.935387,-1.4558302,DATA
1582891714906,137.96591,-14.301763,-1.3732991,DATA
1582891714922,138.00964,-13.677513,-1.6215028,DATA
1582891714939,138.01074,-13.884903,-1.4384487,DATA
1582891714958,137.97144,-14.113797,-1.5334308,DATA
1582891714978,137.92737,-14.3603945,-1.4152222,DATA
1582891714996,137.96436,-13.768861,-1.4656094,DATA
1582891715017,137.94757,-13.986451,-1.290389,DATA
1582891715036,137.90466,-14.168048,-1.4256307,DATA
1582891715057,137.88812,-14.449013,-1.299432,DATA
1582891715085,137.94574,-14.015435,-1.4557555,DATA
1582891715112,138.01743,-13.877133,-1.6129997,DATA
1582891715114,138.02051,-14.311629,-1.6747721,DATA
1582891715133,137.9768,-14.707832,-1.6839353,DATA
1582891715149,138.00238,-14.172857,-1.8209063,DATA
1582891715170,138.03387,-13.877074,-1.9342742,DATA
1582891715189,137.94083,-14.282642,-1.9522525,DATA
1582891715209,137.85773,-14.606338,-1.8626773,DATA
1582891715228,137.81921,-14.27935,-1.8781296,DATA
1582891715248,137.84436,-13.880712,-1.9489875,DATA
1582891715271,137.78003,-14.248555,-1.8291992,DATA
1582891715299,137.72638,-14.646531,-1.7344636,DATA
1582891715328,137.71442,-14.383072,-1.7852597,DATA
1582891715328,137.78317,-13.977612,-1.8102163,DATA
1582891715341,137.7749,-14.218814,-1.7582918,DATA
1582891715360,137.75452,-14.636947,-1.6846371,DATA
1582891715380,137.75186,-14.42218,-1.7699051,DATA
1582891715400,137.81277,-14.077109,-1.8563884,DATA
1582891715420,137.79816,-14.237869,-1.8546091,DATA
1582891715439,137.77136,-14.630095,-1.7628782,DATA
1582891715458,137.75104,-14.389932,-1.8747644,DATA
1582891715489,137.78912,-14.120722,-1.8440953,DATA
1582891715504,137.75662,-14.246847,-1.8415105,DATA
1582891715523,137.72086,-14.54069,-1.7048227,DATA
1582891715535,137.69067,-14.372132,-1.7416456,DATA
1582891715552,137.70462,-14.181716,-1.7066544,DATA
1582891715572,137.67407,-14.384694,-1.679571,DATA
1582891715591,137.65979,-14.623076,-1.5544399,DATA
1582891715611,137.66739,-14.419999,-1.6128958,DATA
1582891715633,137.71918,-14.140012,-1.6219231,DATA
1582891715654,137.70508,-14.373008,-1.5708215,DATA
1582891715676,137.6972,-14.5774765,-1.5006001,DATA
1582891715694,137.6954,-14.466363,-1.5118145,DATA
1582891715723,137.7229,-14.14615,-1.5561006,DATA
1582891715730,137.68878,-14.406358,-1.426759,DATA
1582891715744,137.67816,-14.509483,-1.4211862,DATA
1582891715764,137.70224,-14.334795,-1.4474308,DATA
1582891715784,137.74487,-14.076182,-1.4771736,DATA
1582891715804,137.73267,-14.314999,-1.3698043,DATA
1582891715824,137.75085,-14.347374,-1.3722326,DATA
1582891715843,137.76965,-14.474542,-1.3324265,DATA
1582891715862,137.79901,-14.25204,-1.4041902,DATA
1582891715892,137.77277,-14.534475,-1.2078261,DATA
1582891715899,137.78574,-14.587191,-1.3176254,DATA
1582891715916,137.77872,-14.604336,-1.2706226,DATA
