,ori,,
1582891831113,87.50577,-16.06614,-0.41190663
1582891831129,87.446075,-16.07306,-0.02805671
1582891831151,87.4245,-16.123468,0.22435609
1582891831169,87.55112,-15.969187,0.27590057
1582891831188,87.88275,-15.53437,0.27665704
1582891831208,88.00818,-15.402433,0.27762696
1582891831225,88.03198,-15.401135,0.2652608
1582891831245,88.123535,-15.28301,0.29141554
1582891831265,88.12799,-15.276523,0.37349275
1582891831284,88.18872,-15.188203,0.3477134
1582891831317,88.34378,-14.96948,0.15774599
1582891831341,88.37042,-14.910394,0.16112097
1582891831347,88.2937,-15.005145,0.24290189
1582891831359,88.24643,-15.065185,0.24356529
1582891831377,88.359985,-14.875553,0.2339073
1582891831396,88.4664,-14.716905,0.096487574
1582891831416,88.42212,-14.798614,0.15784074
1582891831436,88.33566,-14.929999,0.18245603
1582891831456,88.32837,-14.920946,0.01972132
1582891831475,88.347534,-14.854061,-0.0058500576
1582891831498,88.36859,-14.786885,-0.004279114
1582891831525,88.39285,-14.715006,0.011786345
1582891831533,88.23935,-14.8616495,0.060572684
1582891831550,88.278656,-14.71331,0.22630951
1582891831570,88.28653,-14.5671015,0.2339005
1582891831589,88.20386,-14.57771,0.35791963
1582891831609,88.06818,-14.761654,0.33939406
1582891831628,87.93637,-14.92982,0.32676232
1582891831647,87.98767,-14.762321,0.37744626
1582891831668,88.05475,-14.615451,0.38302323
1582891831688,87.98776,-14.73459,0.46278363
1582891831704,87.95523,-14.79628,0.52319974
1582891831722,88.03088,-14.679315,0.4634842
1582891831742,88.09796,-14.614099,0.39926448
1582891831765,88.1225,-14.642976,0.3306594
1582891831781,88.13547,-14.669635,0.2731847
1582891831799,88.17926,-14.6111765,0.22045344
1582891831818,88.18848,-14.56169,0.22323976
1582891831840,88.196655,-14.491889,0.34112558
1582891831856,88.18222,-14.455111,0.3056268
1582891831875,88.10379,-14.497751,0.34386498
1582891831894,88.02371,-14.517823,0.371944
1582891831914,87.97162,-14.505772,0.39219892
1582891831933,87.92523,-14.534275,0.42849422
1582891831953,87.92038,-14.534144,0.40230742
1582891831974,87.91055,-14.548226,0.38182575
1582891831992,87.89493,-14.560023,0.38711202
1582891832014,87.893524,-14.5326395,0.3576276
1582891832032,87.878784,-14.5289755,0.33446518
1582891832053,87.85089,-14.568676,0.2904277
1582891832086,87.83084,-14.56978,0.23565543
1582891832087,87.815796,-14.5336075,0.2048233
1582891832111,87.78409,-14.511585,0.18028398
1582891832126,87.704285,-14.552603,0.15244871
1582891832146,87.61548,-14.61667,0.14578116
1582891832165,87.55295,-14.65186,0.13176045
1582891832185,87.55789,-14.622446,0.1089595
1582891832204,87.59668,-14.628924,0.05326524
1582891832223,87.68707,-14.602255,-0.023103116
1582891832245,87.8284,-14.521479,-0.13936545
1582891832269,87.963684,-14.491486,-0.2647109
1582891832279,88.09241,-14.482512,-0.39306557
1582891832306,88.23367,-14.436988,-0.55821896
1582891832328,88.33276,-14.464963,-0.708628
1582891832337,88.447296,-14.44269,-0.8487034
1582891832358,88.56213,-14.3860445,-0.9438809
1582891832377,88.631165,-14.3975115,-1.043013
1582891832396,88.64905,-14.431,-1.1096151
1582891832416,88.69284,-14.349834,-1.1265641
1582891832437,88.74466,-14.22967,-1.1353691
1582891832473,88.696014,-14.310207,-1.1145519
1582891832473,88.61517,-14.394634,-1.0753113
1582891832497,88.544525,-14.377748,-1.0378386
1582891832512,88.491394,-14.357613,-0.9639893
1582891832528,88.46512,-14.357215,-0.95019925
1582891832548,88.46567,-14.389677,-0.9459283
1582891832569,88.46924,-14.410814,-0.9610279
1582891832587,88.50525,-14.356139,-0.9576598
1582891832606,88.51703,-14.338625,-0.9545806
1582891832629,88.49402,-14.400195,-0.9834739
1582891832656,88.487366,-14.376848,-0.9769501
1582891832664,88.5202,-14.282351,-0.9547685
1582891832684,88.52939,-14.288774,-0.97048783
1582891832702,88.49628,-14.391871,-0.9907002
1582891832720,88.50821,-14.370139,-1.0195284
1582891832740,88.550934,-14.276228,-1.0383365
1582891832759,88.551544,-14.3119755,-1.0908805
1582891832778,88.526855,-14.3703165,-1.1116724
1582891832798,88.52417,-14.32242,-1.1029707
1582891832816,88.532104,-14.2539,-1.0989769
1582891832836,88.50397,-14.257,-1.0950415
1582891832857,88.440125,-14.300503,-1.0677937
1582891832876,88.35751,-14.31698,-1.0176685
1582891832897,88.30054,-14.268663,-0.9650468
1582891832919,88.23422,-14.273924,-0.9240933
1582891832932,88.15277,-14.322831,-0.89244765
1582891832952,88.07788,-14.329518,-0.83956444
1582891832970,88.01422,-14.336828,-0.7489179
1582891832990,87.914734,-14.502904,-0.63389504
1582891833011,87.887085,-14.512349,-0.6325045
1582891833044,87.96161,-14.345942,-0.7022776
1582891833046,88.00421,-14.338619,-0.76532066
1582891833066,87.98715,-14.451041,-0.79202414
1582891833086,87.989685,-14.439739,-0.7919592
1582891833109,88.03607,-14.353591,-0.7954929
1582891833137,88.04535,-14.325367,-0.7930423
1582891833144,88.03464,-14.342887,-0.7775961
1582891833161,87.99875,-14.346082,-0.75752383
1582891833181,87.961395,-14.308071,-0.7333122
1582891833202,87.917725,-14.2919855,-0.6827606
1582891833219,87.88049,-14.332452,-0.66572154
1582891833246,87.8526,-14.369603,-0.6320824
1582891833257,87.85922,-14.343099,-0.62536615
1582891833276,87.86493,-14.336612,-0.6329835
1582891833301,87.86081,-14.380779,-0.6237495
1582891833322,87.89517,-14.327207,-0.62449735
1582891833335,87.90289,-14.317573,-0.6247531
1582891833353,87.8584,-14.401372,-0.58459073
1582891833373,87.81909,-14.428548,-0.54212016
1582891833395,87.807434,-14.362696,-0.51715523
1582891833431,87.78204,-14.302477,-0.47411022
1582891833432,87.70923,-14.330628,-0.39744636
1582891833450,87.618866,-14.367984,-0.31534073
1582891833468,87.54291,-14.33586,-0.2347632
1582891833489,87.46323,-14.358835,-0.17141794
1582891833511,87.38245,-14.402549,-0.09701563
1582891833527,87.31662,-14.356856,-0.022570362
1582891833546,87.2121,-14.3704,0.068154626
1582891833564,87.17203,-14.25449,0.17172785
1582891833587,87.08197,-14.315121,0.13315423
1582891833608,86.94714,-14.37527,0.31045198
1582891833623,86.87634,-14.334757,0.31768012
1582891833640,86.84787,-14.218947,0.32745555
1582891833660,86.839935,-14.177995,0.39945108
1582891833680,86.78497,-14.383057,0.37287378
1582891833703,86.76782,-14.369483,0.4734904
1582891833724,86.82437,-14.236377,0.42905217
1582891833736,86.901886,-14.166052,0.38086182
1582891833755,86.947815,-14.258099,0.3388656
1582891833776,86.9776,-14.329324,0.30774635
1582891833805,87.05533,-14.204391,0.26264644
1582891833812,87.09091,-14.214105,0.22808838
1582891833832,87.09155,-14.29608,0.19686267
1582891833851,87.11969,-14.214748,0.17213169
1582891833871,87.1532,-14.174089,0.14271311
1582891833896,87.096436,-14.397721,0.112379305
1582891833910,87.12921,-14.194555,0.22141308
1582891833929,87.21158,-14.109399,-0.020070512
1582891833947,87.21423,-14.24127,0.03913955
1582891833976,87.14386,-14.628401,0.029169176
1582891833986,87.19885,-14.280361,-0.024423478
1582891834020,87.28552,-14.022149,-0.034067705
1582891834026,87.28693,-14.246091,0.045853626
1582891834044,87.18527,-14.585032,0.08223807
1582891834064,87.13678,-14.543839,0.14675318
1582891834081,87.22067,-14.289694,0.024446957
1582891834106,87.31058,-14.101803,-0.03431829
1582891834130,87.23456,-14.473383,-0.124024376
1582891834140,87.14789,-14.640171,-0.068123475
1582891834160,87.1817,-14.347929,-0.13137667
1582891834178,87.20734,-14.233712,-0.09222168
1582891834203,87.1496,-14.366879,0.04964481
1582891834217,87.06879,-14.630367,-0.16827135
1582891834236,87.08856,-14.447604,-0.07994867
1582891834255,87.16089,-14.314178,-0.298134
1582891834274,87.16589,-14.520653,-0.39477998
1582891834300,87.16553,-14.656461,-0.45370775
1582891834313,87.14108,-14.53473,-0.44647136
1582891834335,87.28992,-14.185979,-0.49010363
1582891834353,87.476654,-14.021686,-0.615665
1582891834387,87.55969,-14.345393,-0.68310726
1582891834389,87.6485,-14.336968,-0.71414
1582891834407,87.64618,-14.251677,-0.8548927
1582891834427,87.580444,-14.153821,-0.8075849
1582891834446,87.40588,-14.08867,-0.975922
1582891834468,87.055664,-14.051858,-0.86844826
1582891834487,86.79895,-13.929779,-0.8083815
1582891834514,86.62601,-14.05151,-0.81128323
1582891834531,86.50891,-14.4091425,-0.74221087
1582891834545,86.58075,-14.503478,-0.8734149
1582891834569,86.82825,-14.462797,-1.1252259
1582891834580,87.16681,-14.56716,-1.3820525
1582891834599,87.59726,-14.394946,-1.6585153
1582891834619,88.00827,-14.13888,-1.9309483
1582891834640,88.32532,-14.225379,-2.2005572
1582891834659,88.58606,-14.306379,-2.4416103
1582891834679,88.65683,-14.246965,-2.5203016
1582891834707,88.5838,-14.1382,-2.6271992
1582891834716,88.372406,-14.281828,-2.5422165
1582891834740,88.119995,-14.294208,-2.476291
1582891834768,87.85602,-14.238143,-2.4462428
1582891834772,87.649414,-14.197173,-2.2557232
1582891834791,87.46649,-14.190046,-2.182663
1582891834810,87.35489,-14.213036,-2.1213691
1582891834833,87.41821,-14.184285,-2.0442991
1582891834852,87.46585,-14.142417,-2.1601748
1582891834871,87.5249,-14.034453,-2.1671038
1582891834888,87.57349,-14.160307,-2.1558108
1582891834916,87.572845,-14.331789,-2.3738518
1582891834944,87.65747,-14.056357,-2.3174882
1582891834945,87.670105,-14.26038,-2.481779
1582891834966,87.67859,-14.150633,-2.430079
1582891834983,87.60983,-14.430765,-2.4999735
1582891835002,87.57739,-14.320248,-2.5208852
1582891835022,87.60785,-14.308564,-2.776194
1582891835041,87.46918,-14.486547,-2.6064327
1582891835060,87.55444,-14.41119,-3.0698946
1582891835079,87.370056,-14.69191,-2.817779
1582891835101,87.54648,-14.3438635,-3.393915
1582891835122,87.390564,-14.72493,-3.1498337
1582891835151,87.63684,-14.398474,-3.7456813
1582891835155,87.46155,-14.840569,-3.568427
1582891835174,87.74805,-14.336992,-4.0960126
1582891835194,87.58273,-14.871281,-3.937631
1582891835215,87.91193,-14.258153,-4.394195
1582891835235,87.73752,-15.005091,-4.126715
1582891835254,88.02234,-14.394857,-4.529155
1582891835273,87.80151,-15.140905,-4.0924454
1582891835305,87.993164,-14.626124,-4.3576007
1582891835325,87.84619,-15.20551,-3.9914472
1582891835328,87.883545,-15.069347,-4.128987
1582891835358,87.9957,-15.094394,-4.2272177
1582891835366,87.94043,-15.313161,-4.1648707
1582891835386,88.26074,-14.896451,-4.687449
1582891835407,88.21701,-15.410831,-4.376457
1582891835425,88.619385,-14.838953,-4.9407363
1582891835444,88.59036,-15.503172,-4.593883
1582891835463,88.87811,-15.123797,-4.963943
1582891835481,89.03,-15.388592,-4.937094
1582891835508,89.16156,-15.305081,-5.0024047
1582891835535,89.449646,-15.167579,-5.388456
1582891835539,89.36145,-15.615709,-5.1666484
1582891835557,89.60422,-15.289017,-5.6677194
1582891835577,89.421814,-15.811445,-5.3319507
1582891835597,89.50574,-15.349752,-5.4906783
1582891835618,89.46365,-15.590252,-5.457313
1582891835636,89.25937,-15.791481,-5.4365215
1582891835657,89.24179,-15.607585,-5.634387
1582891835675,88.77487,-15.934058,-5.2819004
