,ori,,
1582892295052,133.74023,-24.57145,-12.62646
1582892295071,134.19833,-24.179033,-11.48256
1582892295090,135.83939,-20.298399,-10.064796
1582892295108,135.51071,-22.072405,-8.985016
1582892295128,135.50537,-23.102808,-7.6224194
1582892295147,135.75183,-22.271498,-7.795324
1582892295165,136.75842,-19.359005,-7.1801324
1582892295184,136.663,-20.249222,-6.590576
1582892295204,136.54327,-21.480125,-5.7281685
1582892295227,136.62244,-21.020403,-5.93069
1582892295250,137.32709,-18.860123,-5.1936555
1582892295270,137.23206,-19.577862,-4.8475714
1582892295278,137.10846,-20.672358,-4.2494206
1582892295299,137.08185,-20.677237,-4.298168
1582892295317,137.58322,-18.9414,-3.8757553
1582892295338,137.565,-19.380337,-3.6126356
1582892295356,137.53964,-20.14533,-3.1803415
1582892295376,137.5014,-20.358713,-3.2312446
1582892295396,137.88525,-18.951256,-2.9700778
1582892295415,137.85492,-19.254051,-2.8614697
1582892295457,137.8067,-19.842196,-2.6745176
1582892295457,137.70645,-20.124733,-2.8381712
1582892295486,137.95392,-18.97487,-2.765727
1582892295490,137.90671,-19.045082,-2.841571
1582892295509,137.76279,-19.689491,-2.9329274
1582892295529,137.60709,-19.983896,-3.2432377
1582892295550,137.78613,-19.063423,-3.1947598
1582892295567,137.79266,-18.962101,-3.2753325
1582892295586,137.70807,-19.56148,-3.266429
1582892295615,137.58472,-20.09252,-3.326547
1582892295627,137.74695,-19.23411,-3.3231666
1582892295661,137.80951,-18.882002,-3.342271
1582892295664,137.66742,-19.557945,-3.4418898
1582892295692,137.51202,-20.107634,-3.584026
1582892295701,137.63013,-19.285774,-3.700865
1582892295720,137.68134,-18.852081,-3.8254004
1582892295740,137.57095,-19.395557,-3.9214306
1582892295760,137.41998,-20.016348,-3.9739769
1582892295779,137.46994,-19.385323,-4.139274
1582892295800,137.53555,-18.945354,-4.0881777
1582892295818,137.39651,-19.52053,-4.174241
1582892295846,137.2312,-20.126802,-4.208709
1582892295869,137.27502,-19.510496,-4.306829
1582892295874,137.33737,-19.10416,-4.236924
1582892295893,137.24481,-19.590414,-4.2637773
1582892295913,137.12958,-20.160364,-4.236479
1582892295931,137.19934,-19.587563,-4.332392
1582892295952,137.28278,-19.21775,-4.252031
1582892295971,137.22366,-19.654972,-4.2993336
1582892295994,137.11063,-20.19886,-4.339177
1582892296026,137.21118,-19.559511,-4.4023924
1582892296028,137.2844,-19.165728,-4.4136786
1582892296049,137.2146,-19.593546,-4.4903293
1582892296065,137.1022,-20.100399,-4.5970445
1582892296085,137.19238,-19.350985,-4.73571
1582892296106,137.23874,-19.102224,-4.7905755
1582892296123,137.19281,-19.47873,-4.905655
1582892296142,137.11621,-19.875126,-5.028712
1582892296163,137.23373,-19.130672,-5.101195
1582892296182,137.24066,-19.076588,-5.096786
1582892296208,137.22162,-19.317017,-5.0707126
1582892296220,137.16733,-19.566525,-5.1202407
1582892296242,137.2591,-18.982332,-5.0442986
1582892296261,137.27264,-18.973011,-4.9019637
1582892296278,137.24438,-19.260975,-4.796035
1582892296295,137.18555,-19.492954,-4.783348
1582892296315,137.29962,-18.846687,-4.584918
1582892296334,137.30603,-18.943136,-4.4022856
1582892296354,137.30981,-19.233906,-4.228127
1582892296373,137.30316,-19.385128,-4.1568
1582892296410,137.44885,-18.701952,-3.949142
1582892296414,137.45062,-18.836573,-3.8140798
1582892296431,137.46014,-19.18723,-3.5377436
1582892296449,137.45538,-19.295094,-3.4654682
1582892296467,137.59589,-18.622705,-3.241643
1582892296488,137.59344,-18.815813,-3.1393373
1582892296508,137.60953,-19.248137,-2.88495
1582892296526,137.64471,-19.243769,-2.8582416
1582892296546,137.80185,-18.562485,-2.6892455
1582892296565,137.81561,-18.791758,-2.608994
1582892296598,137.81534,-19.34088,-2.364073
1582892296603,137.83972,-19.24503,-2.3418808
1582892296621,137.95172,-18.676245,-2.1736577
1582892296643,137.9165,-18.908785,-2.2115672
